"full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2003 ME7)",1.78,0.2943,19.11,256.21,351.82,1.256,2.30,2.38,4423,0,66,,,20.70
"       (2003 MW7)",1.172,0.5495,20.60,107.07,52.57,0.528,1.82,1.27,9,8,57,,,21.50
"       (2003 NB)",2.126,0.4023,5.96,281.16,32.10,1.271,2.98,3.1,1068,1,202,,,19.70
"       (2003 ND)",2.221,0.4506,5.10,297.05,23.69,1.220,3.22,3.31,4689,0,144,,,18.70
"       (2003 NL7)",2.14,0.4498,6.87,306.59,342.19,1.177,3.10,3.13,1023,2,119,,,20.00
"       (2003 OA3)",1.806,0.3482,17.67,189.65,148.32,1.177,2.43,2.43,6353,0,207,,,19.66
"       (2003 OC3)",2.252,0.5966,13.13,172.34,22.98,0.908,3.60,3.38,6189,0,213,,,18.80
"       (2003 OT13)",1.173,0.1712,13.10,135.56,242.61,0.972,1.37,1.27,5291,0,131,,,23.30
"       (2003 PN5)",1.435,0.2777,10.54,134.87,142.57,1.037,1.83,1.72,83,6,37,,,23.20
"       (2003 QA)",2.34,0.7076,10.29,232.66,1.33,0.684,4.00,3.58,6651,0,438,,,18.49
"       (2003 QC)",2.575,0.5298,7.84,321.54,37.51,1.210,3.94,4.13,87,5,187,,,20.80
"       (2003 QK5)",1.267,0.1596,17.02,148.38,129.19,1.064,1.47,1.43,66,5,41,,,22.60
"       (2003 QU5)",1.439,0.3273,2.15,288.48,84.76,0.968,1.91,1.73,9,8,52,,,24.20
"       (2003 QQ10)",2.253,0.4258,7.03,344.76,4.82,1.294,3.21,3.38,6321,0,261,,,19.50
"       (2003 QY29)",2.623,0.5959,16.56,326.64,349.05,1.060,4.19,4.25,27,7,62,,,22.30
"       (2003 QZ29)",2.474,0.6060,8.71,162.58,251.39,0.975,3.97,3.89,3101,0,240,,,19.00
"       (2003 QA30)",2.352,0.5428,9.17,157.81,138.66,1.075,3.63,3.61,6615,0,88,,,21.75
"       (2003 QB30)",1.231,0.4175,0.64,314.88,107.78,0.717,1.74,1.37,3,4,32,1,1,26.80
"       (2003 QB31)",2.145,0.4300,6.01,191.75,120.08,1.223,3.07,3.14,65,5,41,,,21.60
"       (2003 QF70)",2.214,0.4641,6.31,238.58,136.94,1.186,3.24,3.29,3789,0,147,,,19.90
"       (2003 QL96)",2.831,0.6131,6.73,346.21,322.86,1.095,4.57,4.76,60,5,159,,,21.40
"       (2003 RS1)",2.774,0.6421,2.66,172.35,164.14,0.993,4.56,4.62,5110,0,295,,,21.70
"       (2003 RE2)",2.467,0.5407,2.49,299.19,33.27,1.133,3.80,3.88,46,6,49,,,23.00
"       (2003 RB5)",1.884,0.4716,44.62,341.93,27.59,0.996,2.77,2.59,15,8,251,,,21.20
"       (2003 RD5)",1.398,0.2470,8.71,155.91,170.05,1.053,1.74,1.65,17,8,21,,,23.40
"       (2003 RL10)",2.452,0.5517,17.81,221.77,141.98,1.099,3.80,3.84,1371,1,170,,,19.40
"       (2003 RW10)",2.151,0.4343,7.43,349.66,307.59,1.217,3.09,3.15,5910,1,108,,,19.20
"       (2003 RU11)",0.8889,0.1824,4.67,178.23,316.70,0.727,1.05,0.838,3,3,33,1,1,25.50
"       (2003 RW11)",2.636,0.8230,10.36,170.83,53.46,0.466,4.81,4.28,4758,0,165,,,18.70
"       (2003 SF)",2.179,0.7766,5.57,76.50,33.21,0.487,3.87,3.22,5861,0,108,,,19.82
"       (2003 SY4)",2.476,0.6118,3.92,353.72,327.67,0.961,3.99,3.9,9,7,66,,,26.50
"       (2003 SK5)",2.098,0.4572,6.67,336.15,319.16,1.139,3.06,3.04,3143,0,202,,,20.00
"       (2003 SL5)",2.111,0.4755,6.10,39.66,280.12,1.107,3.12,3.07,3144,0,189,,,19.20
"       (2003 SQ15)",1.666,0.4579,45.38,333.95,327.99,0.903,2.43,2.15,6023,0,91,,,19.00
"       (2003 SY17)",2.044,0.5818,33.08,350.50,218.47,0.855,3.23,2.92,4392,2,70,,,18.10
"       (2003 SK36)",2.339,0.4717,2.81,202.31,134.99,1.236,3.44,3.58,36,6,34,,,21.70
"       (2003 SL36)",1.416,0.4076,3.98,359.09,289.05,0.839,1.99,1.69,7,8,27,,,26.40
"       (2003 SH84)",1.7,0.3153,2.32,268.64,134.73,1.164,2.24,2.22,93,6,32,,,23.10
"       (2003 SK84)",2.536,0.7426,8.95,344.09,118.33,0.653,4.42,4.04,2927,0,103,,,21.20
"       (2003 SM84)",1.125,0.0819,2.80,186.65,87.33,1.033,1.22,1.19,6663,1,112,,,22.70
"       (2003 SR84)",1.707,0.4764,7.53,183.31,229.86,0.894,2.52,2.23,7,5,287,0,2,26.00
"       (2003 SS84)",1.931,0.5716,5.49,198.18,234.89,0.827,3.03,2.68,6028,0,265,3,1,21.80
"       (2003 SU84)",1.499,0.3853,16.46,181.80,95.62,0.921,2.08,1.84,4021,0,59,,,22.10
"       (2003 SA85)",2.127,0.4983,5.74,205.11,128.67,1.067,3.19,3.1,37,7,139,,,21.60
"       (2003 SW130)",0.8836,0.3043,3.67,176.37,47.76,0.615,1.15,0.831,8,5,24,,,29.10
"       (2003 SJ154)",2.288,0.4493,9.07,42.01,251.13,1.260,3.32,3.46,6084,0,120,,,18.90
"       (2003 SV159)",2.162,0.5209,5.03,199.84,135.98,1.036,3.29,3.18,32,7,87,,,22.90
"       (2003 SF170)",2.205,0.4235,28.66,9.37,291.56,1.271,3.14,3.27,5671,0,65,,,19.40
"       (2003 SJ170)",2.578,0.5605,15.71,201.05,121.20,1.133,4.02,4.14,1472,1,100,,,19.60
"       (2003 SD201)",3.036,0.6399,20.93,11.48,284.66,1.093,4.98,5.29,5932,0,169,,,17.90
"       (2003 SN214)",2.036,0.5491,8.35,352.99,285.28,0.918,3.15,2.91,34,6,17,,,22.70
"       (2003 SS214)",2.365,0.5358,8.11,211.99,194.86,1.098,3.63,3.64,4135,0,128,,,20.00
"       (2003 SU214)",2.576,0.5403,5.62,7.65,66.14,1.184,3.97,4.14,1479,1,222,,,18.90
"       (2003 SH215)",2.237,0.4391,2.03,83.12,255.82,1.255,3.22,3.35,6,9,23,,,24.90
"       (2003 SK215)",1.852,0.4461,36.02,2.75,289.00,1.026,2.68,2.52,32,6,30,,,21.50
"       (2003 SL215)",2.716,0.5282,7.84,241.96,133.85,1.282,4.15,4.48,6637,0,84,,,20.60
"       (2003 SM215)",2.121,0.5637,5.02,6.10,40.50,0.925,3.32,3.09,2,8,29,,,27.50
"       (2003 SN215)",2.596,0.5463,10.48,190.86,206.81,1.178,4.01,4.18,81,6,24,,,22.40
"       (2003 SQ222)",1.505,0.5182,3.56,4.37,280.93,0.725,2.28,1.85,4,7,16,,,30.10
"       (2003 TK1)",1.522,0.2934,5.73,200.00,186.34,1.075,1.97,1.88,5518,0,81,,,24.30
"       (2003 TL1)",2.579,0.5091,8.22,246.21,132.78,1.266,3.89,4.14,83,6,117,,,19.90
"       (2003 TM1)",1.362,0.5627,1.70,271.39,355.03,0.596,2.13,1.59,4510,0,85,,,22.10
"       (2003 TG2)",0.9078,0.3160,25.46,200.66,355.16,0.621,1.19,0.865,4754,1,57,,,21.20
"       (2003 TH2)",2.458,0.6678,1.39,50.15,44.42,0.816,4.10,3.85,25,4,184,0,2,22.80
"       (2003 TK2)",2.347,0.6478,4.29,0.96,321.02,0.827,3.87,3.59,6628,0,134,,,19.80
"       (2003 TO9)",2.427,0.6043,3.11,198.00,225.07,0.960,3.89,3.78,5440,0,181,,,21.90
"       (2003 TR9)",1.642,0.7014,13.46,198.36,71.06,0.490,2.79,2.1,6010,2,57,,,21.30
"       (2003 TT9)",1.096,0.2695,19.00,20.45,252.83,0.801,1.39,1.15,13,8,43,,,22.90
"       (2003 TX9)",2.151,0.4731,8.40,4.09,80.96,1.134,3.17,3.16,1079,1,74,,,20.70
"       (2003 UE)",2.348,0.4475,24.56,216.08,211.09,1.297,3.40,3.6,6619,0,149,,,20.33
"       (2003 UM3)",1.372,0.4409,1.52,17.67,284.53,0.767,1.98,1.61,1,9,12,,,28.10
"       (2003 UQ3)",2.633,0.5187,12.77,40.12,356.34,1.267,4.00,4.27,6261,0,138,,,19.60
"       (2003 UB5)",2.604,0.6033,10.62,82.83,353.80,1.033,4.18,4.2,6392,0,352,,,19.59
"       (2003 UC5)",1.185,0.8185,36.79,30.94,210.66,0.215,2.16,1.29,6596,0,102,,,20.10
"       (2003 UD5)",2.343,0.5622,5.35,32.39,17.58,1.026,3.66,3.59,33,7,118,,,23.30
"       (2003 UW5)",2.469,0.5783,1.86,16.70,52.52,1.041,3.90,3.88,44,7,53,,,24.30
"       (2003 UX5)",1.441,0.3407,21.45,50.52,50.39,0.950,1.93,1.73,2513,0,113,,,20.30
"       (2003 UE8)",1.935,0.4726,6.55,33.62,353.44,1.021,2.85,2.69,43,7,36,,,24.90
"       (2003 UL9)",1.011,0.2294,62.87,23.34,228.55,0.779,1.24,1.02,6,9,24,,,22.40
"       (2003 UC10)",2.4,0.6318,1.51,68.83,254.66,0.884,3.92,3.72,13,9,28,,,23.90
"       (2003 UO12)",2.829,0.6503,0.98,0.63,83.64,0.989,4.67,4.76,5236,0,200,,,23.90
"       (2003 UP12)",1.79,0.4915,13.95,208.46,231.43,0.910,2.67,2.39,5,8,37,,,25.50
"       (2003 UQ12)",1.709,0.5249,5.41,31.83,291.40,0.812,2.61,2.23,9,8,41,,,24.90
"       (2003 UY12)",0.7011,0.5945,16.41,22.88,200.66,0.284,1.12,0.587,4776,1,84,,,22.90
"       (2003 UY19)",2.462,0.5793,7.64,50.61,320.42,1.036,3.89,3.86,1548,0,124,,,18.60
"       (2003 UB22)",1.22,0.2258,15.88,212.48,116.08,0.945,1.50,1.35,6,8,35,,,24.30
"       (2003 UC22)",2.158,0.4169,4.79,232.40,152.05,1.259,3.06,3.17,39,7,41,,,22.10
"       (2003 UE22)",2.337,0.5456,8.12,29.55,355.69,1.062,3.61,3.57,13,8,48,,,24.70
"       (2003 UG22)",1.424,0.3542,20.30,33.11,280.72,0.920,1.93,1.7,6241,0,162,,,21.20
"       (2003 UP24)",2.235,0.4980,21.66,212.96,237.99,1.122,3.35,3.34,3669,0,97,,,20.10
"       (2003 UO25)",1.017,0.2290,15.47,211.86,28.58,0.784,1.25,1.02,735,2,56,,,22.60
"       (2003 UP25)",1.266,0.1558,19.93,29.58,344.00,1.069,1.46,1.42,12,8,59,,,23.30
"       (2003 UQ25)",2.54,0.6818,2.13,187.61,276.49,0.808,4.27,4.05,11,8,58,,,24.10
"       (2003 UR25)",1.896,0.4892,5.56,23.63,47.19,0.968,2.82,2.61,,9,17,,,25.50
"       (2003 UW26)",2.712,0.5224,18.61,29.00,324.54,1.295,4.13,4.47,6613,0,160,,,19.21
"       (2003 UX26)",1.155,0.3655,4.55,35.39,263.99,0.733,1.58,1.24,7,8,69,,,24.50
"       (2003 UT55)",0.9793,0.1476,16.89,212.81,287.33,0.835,1.12,0.969,1,8,30,,,26.80
"       (2003 VE1)",1.942,0.4953,16.34,29.53,323.30,0.980,2.90,2.71,5924,0,79,,,19.30
"       (2003 WE)",1.199,0.2418,5.37,58.40,285.27,0.909,1.49,1.31,10,7,59,,,24.60
"       (2003 WG)",2.439,0.7841,27.14,46.64,262.00,0.526,4.35,3.81,2639,0,191,,,19.10
"       (2003 WP7)",2.305,0.6453,0.99,248.49,240.98,0.818,3.79,3.5,2577,0,102,,,23.20
"       (2003 WP21)",2.265,0.7845,4.30,37.46,124.30,0.488,4.04,3.41,6207,1,66,,,21.50
"       (2003 WQ21)",1.345,0.1608,19.92,230.34,192.73,1.129,1.56,1.56,18,7,24,,,22.40
"       (2003 WU21)",0.9091,0.5450,28.60,57.53,140.67,0.414,1.40,0.867,4756,0,125,,,21.90
"       (2003 WR25)",3.364,0.7085,8.98,117.41,245.39,0.980,5.75,6.17,35,7,61,,,19.60
"       (2003 WW26)",2.388,0.7982,6.30,57.68,254.64,0.482,4.29,3.69,23,8,83,,,22.50
"       (2003 WY87)",2.416,0.5190,9.45,54.16,6.04,1.162,3.67,3.76,5527,0,59,,,22.30
"       (2003 WH98)",2.148,0.5381,3.55,68.65,353.63,0.992,3.30,3.15,4,7,40,,,26.60
"       (2003 WJ98)",1.262,0.2055,22.86,66.81,34.30,1.003,1.52,1.42,6220,0,45,,,22.90
"       (2003 WO151)",1.545,0.6632,19.83,228.03,330.93,0.520,2.57,1.92,794,2,40,,,20.40
"       (2003 WT153)",0.8935,0.1781,0.37,56.38,147.61,0.734,1.05,0.845,2,6,46,,,28.00
"       (2003 WU153)",1.864,0.3104,27.32,74.02,314.59,1.285,2.44,2.54,6580,0,69,,,19.17
"       (2003 WY153)",2.471,0.5892,1.17,210.90,211.35,1.015,3.93,3.88,18,8,48,,,24.40
"       (2003 WE157)",2.245,0.5671,9.63,226.44,264.69,0.972,3.52,3.36,162,5,33,,,21.20
"       (2003 WC158)",2.64,0.6276,9.01,251.09,144.44,0.983,4.30,4.29,4669,0,125,,,20.40
"       (2003 WH166)",1.937,0.5572,0.70,185.67,329.38,0.858,3.02,2.7,3112,0,177,3,0,22.00
"       (2003 XK)",2.346,0.7170,2.33,246.61,104.11,0.664,4.03,3.59,3,9,12,,,25.90
"       (2003 XM)",3.203,0.6780,5.61,355.53,156.04,1.031,5.37,5.73,6247,0,149,,,19.28
"       (2003 XV)",1.944,0.5543,4.54,252.48,231.25,0.867,3.02,2.71,2927,0,80,,,26.70
"       (2003 XJ7)",1.243,0.4659,18.17,253.93,271.80,0.664,1.82,1.39,1,7,35,,,26.40
"       (2003 XH10)",1.322,0.2437,9.65,70.58,12.38,1.000,1.64,1.52,4,7,36,,,25.50
"       (2003 XZ12)",1.439,0.3129,12.41,268.51,198.43,0.989,1.89,1.73,10,8,30,,,24.40
"       (2003 YJ)",0.9304,0.1986,19.47,89.74,165.61,0.746,1.12,0.897,6537,0,231,,,20.34
"       (2003 YM1)",2.617,0.5169,13.49,290.58,224.77,1.264,3.97,4.23,6361,0,669,,,18.00
"       (2003 YN1)",1.336,0.2435,5.25,274.29,147.83,1.011,1.66,1.54,12,8,23,,,24.90
"       (2003 YP1)",2.656,0.6420,7.49,276.73,131.37,0.951,4.36,4.33,56,6,70,,,21.80
"       (2003 YQ1)",1.746,0.3408,11.32,268.23,171.47,1.151,2.34,2.31,23,7,54,,,22.00
"       (2003 YR1)",0.899,0.4508,29.33,86.41,138.04,0.494,1.30,0.852,6213,1,58,,,22.20
"       (2003 YS1)",3.104,0.8461,24.87,280.80,48.81,0.478,5.73,5.47,27,7,47,,,19.60
"       (2003 YW1)",1.665,0.2969,19.40,276.96,182.49,1.171,2.16,2.15,5517,0,44,,,22.20
"       (2003 YP3)",1.345,0.4918,37.17,260.34,282.26,0.684,2.01,1.56,6413,0,171,,,20.22
"       (2003 YN7)",2.762,0.6975,19.71,94.19,281.06,0.835,4.69,4.59,25,7,74,,,20.60
"       (2003 YP17)",2.003,0.4852,4.90,144.34,31.32,1.031,2.98,2.84,6413,0,872,,,19.10
"       (2003 YS17)",0.9302,0.3129,6.53,98.93,134.58,0.639,1.22,0.897,6228,0,209,,,21.60
"       (2003 YD45)",2.495,0.6931,8.42,252.19,104.98,0.766,4.22,3.94,30,7,60,,,21.00
"       (2003 YS70)",1.288,0.2369,0.35,271.34,195.90,0.983,1.59,1.46,5,5,77,,,29.10
"       (2003 YT70)",1.588,0.3460,0.38,74.22,9.98,1.038,2.14,2,22,8,24,,,25.80
"       (2003 YP94)",2.166,0.5350,8.21,263.68,211.04,1.007,3.32,3.19,11,8,38,,,23.80
"       (2003 YN107)",0.9887,0.0139,4.32,264.39,87.68,0.975,1.00,0.983,467,1,45,,,26.50
"       (2003 YH111)",1.417,0.4862,4.37,91.69,84.35,0.728,2.11,1.69,2,7,116,,,24.50
"       (2003 YR117)",1.861,0.5039,17.34,95.04,317.39,0.923,2.80,2.54,15,8,47,,,22.90
"       (2003 YL118)",1.131,0.4863,7.61,278.71,65.74,0.581,1.68,1.2,6582,0,114,,,21.60
"       (2003 YG136)",0.9693,0.3551,2.73,86.23,128.20,0.625,1.31,0.954,4,7,21,,,25.30
"       (2003 YH136)",2.353,0.8950,16.04,306.72,304.12,0.247,4.46,3.61,14,9,35,,,19.40
"       (2004 AC)",1.802,0.6723,11.53,13.54,171.41,0.591,3.01,2.42,6195,0,152,,,18.90
"       (2004 AD)",1.258,0.2626,7.30,110.49,302.52,0.928,1.59,1.41,26,4,90,0,1,24.40
"       (2004 AM)",1.572,0.2412,41.70,289.69,80.00,1.193,1.95,1.97,16,8,24,,,19.30
"       (2004 AD1)",1.914,0.5628,6.19,299.70,110.33,0.837,2.99,2.65,5708,0,74,,,22.50
"       (2004 AY1)",1.885,0.5728,5.51,40.02,2.31,0.805,2.97,2.59,4791,1,61,,,21.20
"       (2004 AE6)",1.488,0.3762,6.69,298.15,250.87,0.928,2.05,1.82,17,8,26,,,24.40
"       (2004 BY1)",0.8804,0.2198,3.58,298.13,29.52,0.687,1.07,0.826,28,7,37,,,24.50
"       (2004 BF11)",1.894,0.4055,1.80,276.89,199.47,1.126,2.66,2.61,35,7,37,,,24.00
"       (2004 BH11)",1.265,0.3272,4.34,309.78,83.05,0.851,1.68,1.42,10,8,21,,,24.10
"       (2004 BJ11)",1.75,0.3973,4.27,268.92,112.39,1.055,2.45,2.31,2572,4,22,,,21.70
"       (2004 BK11)",2.063,0.3931,5.37,276.41,212.04,1.252,2.87,2.96,29,6,31,,,22.40
"       (2004 BM11)",1.448,0.5243,3.62,42.51,175.52,0.689,2.21,1.74,4608,0,45,,,21.80
"       (2004 BV18)",1.334,0.2540,2.17,302.02,170.94,0.995,1.67,1.54,30,6,96,,,25.90
"       (2004 BW18)",1.373,0.2533,5.11,302.95,201.02,1.025,1.72,1.61,105,5,99,,,22.50
"       (2004 BZ18)",1.867,0.4370,22.62,308.13,112.75,1.051,2.68,2.55,27,7,30,,,21.20
"       (2004 BY21)",2.418,0.4767,6.56,40.26,155.50,1.265,3.57,3.76,5475,0,52,,,18.80
"       (2004 BG41)",2.508,0.6099,2.98,301.18,153.44,0.978,4.04,3.97,4302,0,90,,,24.40
"       (2004 BN41)",2.051,0.5160,0.40,331.60,144.99,0.993,3.11,2.94,7,8,22,,,26.10
"       (2004 BT58)",0.9609,0.3850,17.67,300.83,45.83,0.591,1.33,0.942,6229,0,134,,,22.20
"       (2004 BX58)",2.853,0.6078,15.02,126.44,347.71,1.119,4.59,4.82,89,5,44,,,19.70
"       (2004 BZ74)",3.062,0.8893,17.04,230.18,124.75,0.339,5.79,5.36,5853,0,165,,,18.10
"       (2004 BA75)",1.637,0.6015,3.16,135.02,253.54,0.652,2.62,2.09,4,9,14,,,24.40
"       (2004 BB75)",1.847,0.4470,16.59,132.29,358.82,1.021,2.67,2.51,21,8,42,,,23.10
"       (2004 BF85)",1.83,0.7231,3.71,212.65,18.24,0.507,3.15,2.47,34,7,51,,,20.20
"       (2004 BE86)",1.441,0.2374,3.78,154.75,14.74,1.099,1.78,1.73,5341,0,167,,,20.90
"       (2004 BK86)",1.5,0.5353,2.38,311.33,262.08,0.697,2.30,1.84,1,9,7,,,25.40
"       (2004 CC)",1.43,0.3089,7.60,324.32,199.18,0.988,1.87,1.71,5,8,21,,,23.60
"       (2004 CQ)",2.034,0.4950,6.41,322.09,184.18,1.027,3.04,2.9,16,8,77,,,24.70
"       (2004 CS)",1.86,0.3897,15.10,334.85,189.36,1.135,2.58,2.54,1775,1,92,,,20.20
"       (2004 CZ1)",1.541,0.4550,2.00,146.84,65.87,0.840,2.24,1.91,12,7,111,,,24.40
"       (2004 CA2)",2.108,0.6137,3.25,304.25,130.41,0.814,3.40,3.06,10,8,44,,,23.70
"       (2004 CR2)",2.471,0.5334,3.11,355.11,243.47,1.153,3.79,3.88,3117,0,164,,,19.10
"       (2004 CD39)",2.473,0.5244,3.22,227.51,303.04,1.176,3.77,3.89,1548,1,134,,,20.40
"       (2004 CE39)",1.027,0.3912,17.71,153.23,126.12,0.625,1.43,1.04,340,2,137,,,21.40
"       (2004 CO49)",1.375,0.3882,4.26,115.13,315.96,0.841,1.91,1.61,4790,0,86,,,21.60
"       (2004 CP49)",2.25,0.5016,23.45,151.64,69.70,1.121,3.38,3.37,6411,0,137,,,19.34
"       (2004 DK1)",1.799,0.3958,1.03,38.96,167.97,1.087,2.51,2.41,6388,0,548,,,21.30
"       (2004 DL1)",1.8,0.6932,2.26,176.01,230.66,0.552,3.05,2.41,4,9,14,,,24.40
"       (2004 DF2)",1.658,0.6530,5.23,325.23,89.52,0.575,2.74,2.14,3,9,19,,,26.10
"       (2004 DM44)",2.477,0.7110,10.54,350.73,95.69,0.716,4.24,3.9,1321,0,107,,,20.70
"       (2004 DA53)",0.8836,0.3303,5.14,336.53,50.01,0.592,1.18,0.831,1,7,17,,,28.00
"       (2004 EH1)",2.012,0.5327,7.53,356.79,231.97,0.940,3.08,2.85,26,7,120,,,22.40
"       (2004 EJ1)",1.91,0.4435,14.26,7.92,196.83,1.063,2.76,2.64,103,5,152,,,21.70
"       (2004 EL20)",0.8146,0.2687,7.60,355.97,337.68,0.596,1.03,0.735,2,7,21,,,26.70
"       (2004 EO20)",1.219,0.0551,4.54,179.81,84.08,1.152,1.29,1.35,5743,1,75,,,22.50
"       (2004 ER21)",0.8991,0.1710,7.95,357.26,343.52,0.745,1.05,0.853,10,7,70,,,24.40
"       (2004 ET21)",1.632,0.3240,41.61,171.03,248.13,1.104,2.16,2.09,2039,1,42,,,20.50
"       (2004 EU22)",1.177,0.1633,5.34,175.66,328.72,0.984,1.37,1.28,5142,0,201,,,23.70
"       (2004 FA)",2.122,0.5930,9.16,179.74,56.58,0.864,3.38,3.09,9,7,132,,,23.20
"       (2004 FD)",1.302,0.6743,1.02,49.96,357.11,0.424,2.18,1.49,1090,2,42,,,22.90
"       (2004 FE)",2.347,0.5107,12.07,337.91,213.89,1.148,3.54,3.59,61,5,45,,,21.90
"       (2004 FH)",0.8185,0.2885,0.02,287.28,40.34,0.582,1.05,0.741,6184,1,269,,,25.70
"       (2004 FW1)",1.611,0.7170,10.16,194.59,91.25,0.456,2.77,2.04,5388,0,124,,,20.90
"       (2004 FX1)",1.131,0.2664,17.70,353.03,97.15,0.830,1.43,1.2,2,9,28,,,25.30
"       (2004 FY1)",1.953,0.5881,8.98,180.26,61.42,0.805,3.10,2.73,2,8,22,,,26.30
"       (2004 FK2)",1.333,0.2313,11.44,177.84,19.44,1.024,1.64,1.54,11,7,64,,,24.30
"       (2004 FY3)",1.978,0.5564,5.42,359.81,128.69,0.877,3.08,2.78,11,9,27,,,25.40
"       (2004 FD4)",1.891,0.3244,23.42,345.84,245.18,1.278,2.50,2.6,6054,0,37,,,21.10
"       (2004 FE4)",1.39,0.2347,15.75,358.76,198.75,1.064,1.72,1.64,11,8,38,,,23.30
"       (2004 FM4)",2.022,0.5926,2.68,186.04,289.00,0.824,3.22,2.88,12,9,26,,,25.10
"       (2004 FP4)",1.997,0.4710,2.12,24.57,197.06,1.056,2.94,2.82,121,6,71,,,23.10
"       (2004 FA5)",1.306,0.2993,15.01,178.51,58.55,0.915,1.70,1.49,4,8,24,,,24.50
"       (2004 FK5)",2.25,0.5518,5.53,2.43,173.42,1.008,3.49,3.37,3,8,17,,,26.80
"       (2004 FZ5)",2.156,0.4047,23.36,180.85,45.18,1.283,3.03,3.17,3841,2,73,,,19.60
"       (2004 FN8)",1.169,0.1448,5.26,4.07,159.81,1.000,1.34,1.26,6,7,27,,,27.10
"       (2004 FJ11)",2.248,0.5618,2.39,20.89,232.54,0.985,3.51,3.37,6408,0,179,,,21.03
"       (2004 FY15)",1.855,0.4788,3.49,6.03,207.34,0.967,2.74,2.53,1,7,32,,,26.10
"       (2004 FB16)",1.791,0.4140,12.76,4.78,181.65,1.049,2.53,2.4,7,8,21,,,25.50
"       (2004 FN17)",1.629,0.3287,14.66,195.69,24.33,1.093,2.16,2.08,673,1,70,,,21.00
"       (2004 FB18)",1.665,0.3679,5.73,185.69,23.44,1.052,2.28,2.15,57,7,71,,,24.00
"       (2004 FC18)",1.913,0.6486,9.83,181.61,92.20,0.672,3.15,2.65,5,8,36,,,24.40
"       (2004 FF29)",1.919,0.6160,8.18,68.47,40.28,0.737,3.10,2.66,5932,0,723,,,18.10
"       (2004 FG29)",0.8783,0.4929,3.43,182.94,142.51,0.445,1.31,0.823,2,7,45,,,26.00
"       (2004 FH29)",1.656,0.4020,12.63,195.31,25.93,0.990,2.32,2.13,11,7,58,,,24.00
"       (2004 FJ31)",1.271,0.3222,1.95,58.53,203.78,0.862,1.68,1.43,2,8,23,,,24.40
"       (2004 FY31)",2.167,0.5560,11.20,28.77,197.43,0.962,3.37,3.19,57,6,57,0,1,21.90
"       (2004 FM32)",1.098,0.1618,3.74,183.88,298.87,0.920,1.28,1.15,15,7,36,,,27.10
"       (2004 FU162)",0.8269,0.3922,4.16,191.25,139.78,0.503,1.15,0.752,,9,4,,,28.70
"       (2004 GA)",2.828,0.6308,10.56,12.23,156.22,1.044,4.61,4.76,71,5,188,,,20.10
"       (2004 GD)",1.065,0.3078,6.21,26.53,281.43,0.737,1.39,1.1,11,7,78,,,23.70
"       (2004 GB2)",2.12,0.6490,12.42,208.96,255.41,0.744,3.50,3.09,45,6,36,,,21.00
"       (2004 GD2)",2.038,0.5008,1.77,44.79,144.22,1.017,3.06,2.91,20,7,155,,,24.30
"       (2004 GE2)",2.045,0.7067,2.16,45.13,259.93,0.600,3.49,2.93,12,8,94,,,21.50
"       (2004 GZ14)",1.387,0.3238,20.92,200.85,308.20,0.938,1.84,1.63,7,8,58,,,23.90
"       (2004 GB19)",1.357,0.3661,1.28,163.03,327.15,0.860,1.85,1.58,21,8,50,,,23.00
"       (2004 GC19)",2.139,0.5566,8.67,200.01,48.62,0.949,3.33,3.13,10,8,49,,,24.10
"       (2004 HB)",2.375,0.5866,8.43,21.86,211.76,0.982,3.77,3.66,2,8,22,,,23.90
"       (2004 HD)",1.926,0.4664,2.54,214.74,343.66,1.028,2.82,2.67,16,7,75,,,24.80
"       (2004 HE)",1.773,0.6081,9.48,208.06,79.61,0.695,2.85,2.36,1,7,50,,,26.80
"       (2004 HL)",1.554,0.3461,3.40,29.31,170.40,1.016,2.09,1.94,1,7,25,,,26.50
"       (2004 HM)",1.331,0.4095,11.57,205.29,283.80,0.786,1.88,1.54,6031,0,132,,,23.18
"       (2004 HZ)",1.303,0.4422,4.22,204.25,97.26,0.727,1.88,1.49,1098,0,84,,,22.60
"       (2004 HA1)",2.71,0.7200,19.12,29.22,258.83,0.759,4.66,4.46,6,9,65,,,21.70
"       (2004 HQ1)",1.11,0.2707,4.42,29.47,93.47,0.809,1.41,1.17,30,6,65,,,23.10
"       (2004 HD2)",2.317,0.8338,15.44,26.90,61.77,0.385,4.25,3.53,20,8,58,,,21.10
"       (2004 HF12)",2.139,0.6487,13.40,21.87,105.89,0.751,3.53,3.13,48,6,76,,,20.50
"       (2004 HG12)",1.442,0.3450,26.54,208.22,48.48,0.945,1.94,1.73,13,8,53,,,22.40
"       (2004 HH20)",1.78,0.4196,4.13,32.62,199.06,1.033,2.53,2.37,9,7,44,,,25.10
"       (2004 HC33)",1.766,0.4295,11.30,212.47,20.01,1.007,2.52,2.35,4,8,33,,,26.00
"       (2004 HH33)",1.372,0.1135,27.47,40.34,174.49,1.216,1.53,1.61,5831,0,99,,,20.80
"       (2004 HT38)",1.733,0.3766,13.11,40.15,152.00,1.081,2.39,2.28,6,8,39,,,23.60
"       (2004 HA39)",2.148,0.5382,36.19,204.02,67.37,0.992,3.30,3.15,144,4,54,,,20.90
