"full_name","a","e","i","om","w","q","ad","per.y","data_arc","condition_code","n_obs_used","n_del_obs_used","n_dop_obs_used","H"
"       (2014 HF5)",1.9,0.4510,6.13,217.66,354.03,1.043,2.76,2.62,14,8,29,,,25.30
"       (2014 HS46)",1.416,0.2484,11.67,37.00,153.85,1.064,1.77,1.69,21,7,59,,,23.00
"       (2014 HT46)",1.282,0.2332,1.57,200.15,58.69,0.983,1.58,1.45,12,3,40,1,0,26.60
"       (2014 HU46)",1.504,0.4190,1.89,200.53,305.22,0.874,2.13,1.84,3,9,20,,,27.80
"       (2014 HV46)",2.125,0.3999,1.45,131.33,92.71,1.275,2.97,3.1,28,8,19,,,23.20
"       (2014 HH123)",1.121,0.2370,8.38,198.86,293.55,0.855,1.39,1.19,27,7,38,,,24.40
"       (2014 HL123)",1.693,0.3900,11.86,43.40,100.48,1.033,2.35,2.2,51,6,38,,,22.39
"       (2014 HM123)",1.645,0.2732,16.14,54.77,128.45,1.195,2.09,2.11,621,2,65,,,21.50
"       (2014 HN123)",3.205,0.6372,7.09,143.46,143.63,1.163,5.25,5.74,2415,1,74,,,19.50
"       (2014 HO123)",2.309,0.5392,12.35,16.46,276.16,1.064,3.55,3.51,2571,0,60,,,20.60
"       (2014 HZ123)",2.358,0.4934,6.84,221.79,351.80,1.194,3.52,3.62,13,8,43,,,23.70
"       (2014 HA124)",2.024,0.4856,2.60,202.44,41.83,1.041,3.01,2.88,5,8,17,,,26.50
"       (2014 HB124)",0.8431,0.5103,6.57,221.90,168.43,0.413,1.27,0.774,2582,2,50,,,23.03
"       (2014 HC124)",1.641,0.5620,7.20,218.62,260.13,0.719,2.56,2.1,5,9,21,,,23.60
"       (2014 HD124)",1.509,0.3368,18.17,37.53,53.02,1.000,2.02,1.85,775,2,50,,,19.70
"       (2014 HE124)",1.959,0.8487,18.73,204.34,229.78,0.296,3.62,2.74,10,8,31,,,22.00
"       (2014 HF124)",1.829,0.4656,37.51,205.83,302.48,0.978,2.68,2.47,8,8,28,,,21.40
